episode,reward,r_f,r_h,r_d,action_mean_agent_0,action_mean_agent_1,action_mean_agent_2,action_mean_agent_3,action_mean_agent_4,action_mean_agent_5,action_mean_agent_6,action_mean_agent_7,action_std_agent_0,action_std_agent_1,action_std_agent_2,action_std_agent_3,action_std_agent_4,action_std_agent_5,action_std_agent_6,action_std_agent_7,saturation_ratio,tds_failed,max_freq_deviation_hz
0,-65932.13133430481,-65909.76723727735,-9.851906083524227,-12.51275172829628,0.03302748501300812,-0.13712282478809357,-0.003595702350139618,-0.0284244604408741,0.08437468111515045,0.01772230863571167,-0.04842246323823929,0.0915084257721901,0.6321698427200317,0.6571528911590576,0.5799527168273926,0.6393195986747742,0.568932294845581,0.6206209659576416,0.6065136790275574,0.5900357365608215,0.08405172413793104,1,32.59441099218219
1,-27366.340255260468,-27352.438453603612,-6.552472248673439,-7.349525988101959,-0.14458820223808289,-0.04052681475877762,0.06214866042137146,0.014028139412403107,0.027721606194972992,-0.03518474102020264,0.10331737995147705,0.03458414971828461,0.6209246516227722,0.5950027108192444,0.6164349317550659,0.5972098112106323,0.7101868391036987,0.6259576082229614,0.62307208776474,0.465093195438385,0.10294117647058823,1,15.600675633816774
2,-78289.83554649353,-78267.23692161252,-10.359278112649918,-12.240369468927383,-0.07330180704593658,-0.16448213160037994,0.07532043009996414,0.07202106714248657,-0.007005779072642326,-0.018614863976836205,0.022469768300652504,0.1072189211845398,0.5486307144165039,0.6335822939872742,0.5849493741989136,0.6144652366638184,0.596937894821167,0.6563963294029236,0.6589517593383789,0.6204695105552673,0.06666666666666667,1,17.522204585611895
3,-49103.87151622772,-49088.89191633802,-7.347469210624695,-7.632622927427292,-0.1426319032907486,-0.08401373028755188,-0.11277332901954651,-0.12854436039924622,-0.07876600325107574,0.05160268396139145,-0.002467959187924862,-0.03509967774152756,0.6005117893218994,0.6453765034675598,0.5386542081832886,0.5551422834396362,0.6244149208068848,0.604377031326294,0.5227001905441284,0.578779399394989,0.04261363636363636,1,19.636495429411
4,-6955.7928948402405,-6949.769538185968,-2.6566940993070602,-3.3666630387306213,0.015450939536094666,-0.011051908135414124,0.2241775393486023,-0.23717284202575684,0.0002154037356376648,0.05812690407037735,0.06431498378515244,0.06206147000193596,0.5117110013961792,0.5937892198562622,0.6004620790481567,0.625950813293457,0.6640385389328003,0.562427282333374,0.4802432060241699,0.613038182258606,0.08333333333333333,1,18.20552436816766
5,-161385.90685272217,-161355.7283143129,-15.182637676596642,-14.994996681809425,-0.04025086387991905,0.024624016135931015,-0.038064852356910706,0.00906308088451624,-0.0049626571126282215,0.005441469140350819,0.015818068757653236,0.07271359860897064,0.5566486120223999,0.5863654613494873,0.5603523254394531,0.5771392583847046,0.5783005952835083,0.5981127023696899,0.5463430285453796,0.5941562652587891,0.03940217391304348,1,18.095311621300443
6,-33920.4817237854,-33906.07893247864,-6.752609193325043,-7.650536298751831,-0.024197280406951904,0.10515627264976501,-0.04860750958323479,0.1308152973651886,0.06803180277347565,-0.16060492396354675,0.1732615977525711,-0.01871897093951702,0.61012864112854,0.6068798303604126,0.5536133646965027,0.613416314125061,0.6024120450019836,0.5407618284225464,0.5812064409255981,0.5822865962982178,0.041666666666666664,1,17.980652883825794
7,-82136.77774620056,-82113.18771355615,-12.109384372830391,-11.481269657611847,-0.01770457997918129,-0.10387381911277771,0.1046169251203537,0.07267440855503082,0.04570946469902992,-0.013546690344810486,0.11470939218997955,-0.059111058712005615,0.6101664304733276,0.5873262286186218,0.5628321766853333,0.5835545063018799,0.639795184135437,0.5806601047515869,0.5744324922561646,0.5875966548919678,0.04924242424242424,1,16.244006238574453
8,-65038.476128578186,-65018.32533929976,-9.980489671230316,-10.170802846550941,0.05444736033678055,0.008700504899024963,0.10503677278757095,0.08151566982269287,0.04994764178991318,0.01054123044013977,-0.07722484320402145,-0.03981292247772217,0.633732259273529,0.6002088785171509,0.6089332103729248,0.5492267608642578,0.57065749168396,0.5538316965103149,0.5398697853088379,0.6151341199874878,0.036637931034482756,1,15.737389349268724
9,-90619.86232471466,-90595.06760070851,-12.732445247471333,-12.062110215425491,0.03377808257937431,0.14629113674163818,0.04549179598689079,0.15611612796783447,0.13788335025310516,0.10755041241645813,0.028242234140634537,0.12766189873218536,0.6355288028717041,0.4864131510257721,0.5544812083244324,0.5569348335266113,0.5456651449203491,0.5875329971313477,0.5379048585891724,0.5715614557266235,0.02631578947368421,1,18.34625768329532
