episode,reward,r_f,r_h,r_d,action_mean_agent_0,action_mean_agent_1,action_mean_agent_2,action_mean_agent_3,action_mean_agent_4,action_mean_agent_5,action_mean_agent_6,action_mean_agent_7,action_std_agent_0,action_std_agent_1,action_std_agent_2,action_std_agent_3,action_std_agent_4,action_std_agent_5,action_std_agent_6,action_std_agent_7,saturation_ratio,tds_failed,max_freq_deviation_hz
0,-100523.73778009415,-100477.35549803496,-22.540015146136284,-23.841530449688435,-0.03337135165929794,-0.06256364285945892,0.12095986306667328,-0.06334102153778076,0.03118051402270794,0.01112528145313263,-0.08715567737817764,0.05700252205133438,0.673876941204071,0.6818225383758545,0.661431074142456,0.6792295575141907,0.6876497864723206,0.6969363689422607,0.6620349884033203,0.6536310911178589,0.14,0,12.553454918461192
1,-92213.35962104797,-92174.92528211047,-18.69797469675541,-19.736821576952934,0.0636109784245491,-0.10353143513202667,0.004838832188397646,-0.10868880152702332,-0.08731745928525925,-0.0696135014295578,-0.04653589800000191,0.0457773320376873,0.5838422775268555,0.6356244087219238,0.6122645735740662,0.6116647720336914,0.6006503105163574,0.598975658416748,0.6336398124694824,0.6264913082122803,0.0775,0,10.557721077955723
2,-81568.1489162445,-81532.3665011646,-17.342865735292435,-18.439227655529976,0.016235720366239548,0.07722306996583939,0.015953056514263153,0.04234324023127556,0.0736771896481514,-0.025819798931479454,0.12521016597747803,0.07311895489692688,0.5722527503967285,0.5916939973831177,0.60536789894104,0.5554087162017822,0.6139185428619385,0.5836626887321472,0.5587508082389832,0.6494340896606445,0.05875,0,14.283011455981743
3,-81346.40747261047,-81310.47268196123,-17.774168640375137,-18.160519763827324,-0.0017312057316303253,0.05992981791496277,0.16703669726848602,0.06074725091457367,-0.019315127283334732,0.09810678660869598,0.09511221200227737,0.015415284782648087,0.5764095783233643,0.6156666278839111,0.5886328220367432,0.5710870623588562,0.6145625114440918,0.5708317756652832,0.5737909078598022,0.6045844554901123,0.0425,0,10.675392722384004
4,-71142.36589956284,-71106.1453148252,-17.404573261737823,-18.816430240869522,0.06488389521837234,0.09929491579532623,0.04622761160135269,0.13676181435585022,0.14748910069465637,0.0984368771314621,0.11948149651288986,0.017554279416799545,0.6236444711685181,0.576238751411438,0.5975129008293152,0.5723317861557007,0.5808627605438232,0.6040881872177124,0.5396263599395752,0.5908975005149841,0.0425,0,10.380586750149018
5,-60856.306118011475,-60819.63860531744,-17.63938270509243,-19.028303399682045,0.1003940999507904,0.19664472341537476,0.21957212686538696,0.09546051174402237,0.22412559390068054,0.10941693186759949,0.28691184520721436,0.22868500649929047,0.6104137897491455,0.5951999425888062,0.5746612548828125,0.5782908797264099,0.540675163269043,0.5574110746383667,0.5466399192810059,0.5685248374938965,0.05625,0,7.553083362374844
6,-54439.44584751129,-54402.52228721692,-18.652598932385445,-18.271055951714516,0.1713440865278244,0.2869687080383301,0.25561803579330444,0.15341146290302277,0.07564330101013184,0.3678632378578186,0.26276668906211853,0.4005346894264221,0.5254896879196167,0.5405170917510986,0.5633816123008728,0.5781334638595581,0.5655933022499084,0.5556665062904358,0.5180132985115051,0.5013262033462524,0.045,0,5.950103353472711
7,-48335.99562597275,-48298.2997604623,-18.96315437555313,-18.732955679297447,0.2839025855064392,0.30944544076919556,0.3431834876537323,0.2844942510128021,0.40603160858154297,0.35915878415107727,0.3320530652999878,0.2505626380443573,0.5147221684455872,0.5199626088142395,0.5288732051849365,0.5278828740119934,0.46742933988571167,0.5012785196304321,0.5139626264572144,0.5292371511459351,0.05125,0,8.44649975475241
8,-45347.86562252045,-45309.3903066092,-18.360032938420773,-20.11508685350418,0.3284548819065094,0.3409337103366852,0.27934885025024414,0.24685528874397278,0.2960876524448395,0.4458259642124176,0.42461496591567993,0.4123731553554535,0.4890214800834656,0.5139694809913635,0.5739392042160034,0.4893990159034729,0.5320857763290405,0.4631209969520569,0.44178253412246704,0.479453980922699,0.04375,0,6.098031512362554
9,-42473.89914894104,-42433.269775475615,-19.89801523089409,-20.731222420930862,0.3769640624523163,0.3445953130722046,0.3560512959957123,0.29824376106262207,0.4561513364315033,0.4694211483001709,0.41091305017471313,0.30450695753097534,0.5034874677658081,0.5121005177497864,0.5111870765686035,0.5042615532875061,0.49374818801879883,0.5001652836799622,0.5184892416000366,0.5085138082504272,0.055,0,6.06846889851147
